,0
target_cal_doy_sin,815
target_cal_doy_cos,552
horizon,384
power_rollstd720h,314
power_rollmean720h,270
target_cal_hour_sin,270
power_consumption,259
target_cal_dow_sin,222
cal_doy_sin,215
power_rollmean168h,204
power_rollmean336h,201
power_rollstd336h,169
power_rollstd168h,159
cal_doy_cos,133
target_cal_dow_cos,130
power_rollmean24h,99
power_rollstd72h,93
power_rollmean72h,79
power_lag504h,76
power_lag2h,65
power_rollstd24h,60
power_lag1h,58
power_lag72h,57
target_cal_hour_cos,54
power_lag0h,47
power_lag24h,44
power_lag720h,41
power_lag48h,41
power_lag336h,35
power_lag168h,27
