architecture,horizon_bucket,regime,MASE_power_only,MASE_with_covariate,improvement_pct
LightGBM,short_1-24h,stable,0.7798192422609774,0.7670043778372067,1.6433121586761388
LightGBM,short_1-24h,transition,0.4875228964929399,0.4615706416004194,5.323289445318665
LightGBM,medium_48-168h,stable,0.8764019950230819,0.8588757456024592,1.9997957010767828
LightGBM,medium_48-168h,transition,0.6097938069883163,0.5929617139516192,2.76029255197398
LSTM,short_1-24h,stable,0.708939887332466,0.7214918152640809,-1.7705207671194947
LSTM,short_1-24h,transition,0.5592410671702683,0.5341854986579172,4.4802805057094695
LSTM,medium_48-168h,stable,0.913692716905432,0.920931854493797,-0.7922945487497288
LSTM,medium_48-168h,transition,0.7076820645773045,0.685653716324021,3.112746437404914
TFT-lite,short_1-24h,stable,0.7066601744512047,0.7044406367348951,0.3140884114536755
TFT-lite,short_1-24h,transition,0.4971126680797284,0.5232368880218328,-5.255190949572515
TFT-lite,medium_48-168h,stable,0.9377576878356558,0.940856478181624,-0.33044680797234166
TFT-lite,medium_48-168h,transition,0.6718772185018915,0.6898582643031644,-2.676239840571747
