architecture,horizon_bucket,regime,n_stable_or_transition,MASE_power_only,MASE_with_covariate,improvement_pct
LightGBM,short_1-24h,stable,7411,0.6915339047751934,0.6759051416778843,2.2600140050095963
LightGBM,short_1-24h,transition,2692,0.7141526270413777,0.7519372071783044,-5.29082701739294
LightGBM,medium_48-168h,stable,1803,0.8086496899225029,0.7997852636717284,1.0962010325662725
LightGBM,medium_48-168h,transition,696,0.8971202839591338,0.923274533499511,-2.9153559459111125
LSTM,short_1-24h,stable,7244,0.6935272839470742,0.8202127059142793,-18.266825963385312
LSTM,short_1-24h,transition,2692,0.7155274648011142,0.9441192394309885,-31.947309624713427
LSTM,medium_48-168h,stable,1788,0.9077029178773803,0.9606070367153228,-5.828351743283604
LSTM,medium_48-168h,transition,696,1.1189109788369473,1.1990352594546954,-7.160916474430633
TFT-lite,short_1-24h,stable,7244,0.676980258125104,0.6850403299815434,-1.1905918613877722
TFT-lite,short_1-24h,transition,2692,0.6847829230268362,0.6995806811433437,-2.160941463186518
TFT-lite,medium_48-168h,stable,1788,0.8875522500291373,0.9028067436695428,-1.718714998458373
TFT-lite,medium_48-168h,transition,696,1.1075675324658925,1.1153057435922236,-0.6986672053398608
