model,label,variant,changepoint,changepoint_idx,baseline_h1_mae,peak_h1_mae,peak_offset_days,recovery_offset_days,peak_to_baseline_ratio
chronos_bolt_small,①Chronos,zero-shot,2023-04-04,0,807262.016301576,1563559.5767777357,19,2,1.936867516622537
chronos_bolt_small,①Chronos,zero-shot,2023-05-14,1,358995.9039356669,3150722.392608133,4,2,8.776485631359046
chronos_bolt_small,①Chronos,zero-shot,2023-08-16,2,824891.1897526787,2594965.456257873,21,2,3.145827581254569
chronos_bolt_small,①Chronos,zero-shot,2023-10-05,3,605632.9870063058,4934581.298416009,13,2,8.147808003008645
lightgbm_info2,②LightGBM,power-only,2023-04-04,0,2585766.511622693,3179545.675581157,0,2,1.2296337125914123
lightgbm_info2,②LightGBM,power-only,2023-05-14,1,652499.6653532169,3322585.332738851,4,2,5.09208741270425
lightgbm_info2,②LightGBM,power-only,2023-08-16,2,864926.6350106533,2676452.208647378,16,2,3.094426856925746
lightgbm_info2,②LightGBM,power-only,2023-10-05,3,1448299.9051379766,4665286.024480639,13,2,3.2212154457306177
lightgbm_info3,③LightGBM,+covariate,2023-04-04,0,2392511.324871378,3863407.94760394,0,2,1.6147919165279763
lightgbm_info3,③LightGBM,+covariate,2023-05-14,1,665313.3371817459,3597580.7239321647,4,2,5.40734797106495
lightgbm_info3,③LightGBM,+covariate,2023-08-16,2,770216.247811814,3079266.989200009,1,8,3.99792525533993
lightgbm_info3,③LightGBM,+covariate,2023-10-05,3,1417083.7616782144,4668623.51166988,13,2,3.294528974166604
lstm_info2,②LSTM,power-only,2023-04-04,0,1687951.378897735,2644371.0087543447,5,2,1.566615627566933
lstm_info2,②LSTM,power-only,2023-05-14,1,1127426.2205986457,3735928.7265809774,4,2,3.3136791200379014
lstm_info2,②LSTM,power-only,2023-08-16,2,992931.8098186692,2530303.779368721,1,8,2.5483157598010773
lstm_info2,②LSTM,power-only,2023-10-05,3,1935321.1743606275,4800663.301916011,13,2,2.480551220911437
lstm_info3,③LSTM,+covariate,2023-04-04,0,1579089.490778613,4900526.079278523,5,2,3.103387178431658
lstm_info3,③LSTM,+covariate,2023-05-14,1,3464830.2601285935,5793255.490846678,8,2,1.6720171136555668
lstm_info3,③LSTM,+covariate,2023-08-16,2,983980.4555948786,2546507.69333829,1,9,2.587965725191934
lstm_info3,③LSTM,+covariate,2023-10-05,3,1866732.6100077294,4867770.309179783,13,2,2.6076419745834016
tft_info2,②TFT-lite,power-only,2023-04-04,0,1801580.6136054713,2526293.3077171333,30,2,1.4022649270527547
tft_info2,②TFT-lite,power-only,2023-05-14,1,1026383.9377362952,3514654.777173654,26,2,3.4243080468750096
tft_info2,②TFT-lite,power-only,2023-08-16,2,1201266.4550336532,2675454.5987567846,4,2,2.2271949637366943
tft_info2,②TFT-lite,power-only,2023-10-05,3,1916395.8271372702,5797300.786852965,13,2,3.0251061418313703
tft_info3,③TFT-lite,+covariate,2023-04-04,0,1823914.6968211597,2630565.9290882256,2,2,1.442263683533529
tft_info3,③TFT-lite,+covariate,2023-05-14,1,1019514.3509010026,3586443.5370545983,26,2,3.51779603090928
tft_info3,③TFT-lite,+covariate,2023-08-16,2,1265455.3120462135,2693164.069399869,21,2,2.128217443763448
tft_info3,③TFT-lite,+covariate,2023-10-05,3,2181768.796840104,5752181.294960488,13,2,2.6364761029177237
