model,architecture,variant,horizon_bucket,regime,n,MAE,RMSE,MASE,pinball_avg,CRPS_approx
chronos_bolt_small,Chronos-bolt (zero-shot),①zero-shot,overall,overall,12602,1565007.6097006334,2280805.890403946,0.6839183838606498,569760.5083572742,1139521.0167145485
chronos_bolt_small,Chronos-bolt (zero-shot),①zero-shot,short_1-24h,stable,7411,1434968.583144146,2078893.7871721147,0.6270904934848724,516662.06074076117,1033324.1214815223
chronos_bolt_small,Chronos-bolt (zero-shot),①zero-shot,short_1-24h,transition,2692,1440910.7782093976,2045709.8365675882,0.6296872709193214,523367.3168024579,1046734.6336049158
chronos_bolt_small,Chronos-bolt (zero-shot),①zero-shot,medium_48-168h,stable,1803,1974912.9242897644,2839344.10166862,0.8630496408283495,736287.0253432788,1472574.0506865575
chronos_bolt_small,Chronos-bolt (zero-shot),①zero-shot,medium_48-168h,transition,696,2367778.606798814,3331819.7130903294,1.0347344690620583,883202.6877046556,1766405.3754093111
lightgbm_info2,LightGBM,②power-only,overall,overall,12602,1657815.6523279164,2281708.572683963,0.7244760949730342,597690.2290285131,1195380.4580570261
lightgbm_info2,LightGBM,②power-only,short_1-24h,stable,7411,1582434.174718256,2193134.2538599554,0.6915339047751934,573295.7476099565,1146591.495219913
lightgbm_info2,LightGBM,②power-only,short_1-24h,transition,2692,1634192.5033487324,2189929.1537323985,0.7141526270413777,601875.7354372769,1203751.4708745538
lightgbm_info2,LightGBM,②power-only,medium_48-168h,stable,1803,1850429.7415824875,2547858.98035281,0.8086496899225029,651508.8255797568,1303017.6511595135
lightgbm_info2,LightGBM,②power-only,medium_48-168h,transition,696,2052876.6360795856,2772026.277800099,0.8971202839591338,701835.6154633386,1403671.2309266771
lightgbm_info3,LightGBM,③+covariate,overall,overall,12602,1655657.0284198285,2265783.9000209556,0.7235327624515618,596294.087577168,1192588.175154336
lightgbm_info3,LightGBM,③+covariate,short_1-24h,stable,7411,1546670.9407495656,2133123.1651437273,0.6759051416778843,565704.1981974003,1131408.3963948006
lightgbm_info3,LightGBM,③+covariate,short_1-24h,transition,2692,1720654.801832117,2269439.5693940893,0.7519372071783044,612856.4280889801,1225712.8561779603
lightgbm_info3,LightGBM,③+covariate,medium_48-168h,stable,1803,1830145.3116483467,2533287.1947988095,0.7997852636717284,653149.9674102446,1306299.9348204893
lightgbm_info3,LightGBM,③+covariate,medium_48-168h,transition,696,2112725.297151752,2820956.1764054936,0.923274533499511,710668.653951627,1421337.307903254
lstm_info2,LSTM,②power-only,overall,overall,12420,1723010.5905299094,2431152.7706702086,0.7529667019800705,618696.5930185576,1237393.1860371153
lstm_info2,LSTM,②power-only,short_1-24h,stable,7244,1586995.6160344,2227533.5395567263,0.6935272839470742,573727.3878112218,1147454.7756224435
lstm_info2,LSTM,②power-only,short_1-24h,transition,2692,1637338.5389092118,2176295.6956874314,0.7155274648011142,580068.9702221006,1160137.9404442012
lstm_info2,LSTM,②power-only,medium_48-168h,stable,1788,2077092.8335142,3002863.012425586,0.9077029178773803,745681.5605858292,1491363.1211716584
lstm_info2,LSTM,②power-only,medium_48-168h,transition,696,2560399.3660363415,3513451.884555993,1.1189109788369473,909922.6865239048,1819845.3730478096
lstm_info3,LSTM,③+covariate,overall,overall,12420,2033171.8347455976,2718806.3032129905,0.8885091591319426,712887.937502173,1425775.875004346
lstm_info3,LSTM,③+covariate,short_1-24h,stable,7244,1876889.3432619583,2538103.743836891,0.8202127059142793,661006.4448771368,1322012.8897542737
lstm_info3,LSTM,③+covariate,short_1-24h,transition,2692,2160424.151539297,2694451.2404201063,0.9441192394309885,733505.4057183823,1467010.8114367647
lstm_info3,LSTM,③+covariate,medium_48-168h,stable,1788,2198153.1098859436,3024761.4065776356,0.9606070367153228,787991.3534254046,1575982.7068508093
lstm_info3,LSTM,③+covariate,medium_48-168h,transition,696,2743747.4260500553,3643412.4866143395,1.1990352594546954,980190.2370237054,1960380.4740474108
tft_info2,TFT-lite,②power-only,overall,overall,12420,1677584.5285948054,2413106.851856015,0.7331152209577176,605107.8665449639,1210215.7330899278
tft_info2,TFT-lite,②power-only,short_1-24h,stable,7244,1549131.1252699979,2195511.4635710763,0.676980258125104,562886.882356036,1125773.764712072
tft_info2,TFT-lite,②power-only,short_1-24h,transition,2692,1566985.9310996407,2191669.4100120375,0.6847829230268362,571404.611704122,1142809.223408244
tft_info2,TFT-lite,②power-only,medium_48-168h,stable,1788,2030982.1436025866,2939987.86083609,0.8875522500291373,716038.9717553732,1432077.9435107464
tft_info2,TFT-lite,②power-only,medium_48-168h,transition,696,2534442.20461202,3599818.352660637,1.1075675324658925,889925.6185276214,1779851.2370552428
tft_info3,TFT-lite,③+covariate,overall,overall,12420,1701698.8842770753,2438660.9162003077,0.743653349375645,614249.7836295775,1228499.567259155
tft_info3,TFT-lite,③+covariate,short_1-24h,stable,7244,1567574.9543696872,2216506.5276864083,0.6850403299815434,570757.4425469035,1141514.885093807
tft_info3,TFT-lite,③+covariate,short_1-24h,transition,2692,1600847.5798070722,2221068.8681499762,0.6995806811433437,581672.508191049,1163345.016382098
tft_info3,TFT-lite,③+covariate,medium_48-168h,stable,1788,2065888.9383206957,2972608.1315942057,0.9028067436695428,726647.9999309961,1453295.9998619922
tft_info3,TFT-lite,③+covariate,medium_48-168h,transition,696,2552149.521133937,3634525.463112843,1.1153057435922236,904175.837561289,1808351.675122578
