feature,stable,transition,transition_vs_stable_ratio
avg_requested_nodes_rollmean168h,86550.84403278027,50490.8913512104,0.5833668280818552
avg_wait_time_sec_rollstd24h,43140.10164840429,46246.770369210324,1.0720134770688687
avg_wait_time_sec_rollmean24h,23437.165571080506,30287.992121283314,1.2923061037148686
job_arrival_count_rollmean168h,20872.00355994169,28554.411410023433,1.3680723715870813
avg_wait_time_sec_rollmean168h,27488.722101377116,20948.867818734485,0.7620895486329282
compute_bound_ratio_rollmean168h,17790.11276791519,20930.99646747846,1.1765522085519275
avg_requested_nodes_rollstd168h,34687.89722026232,20737.104877088663,0.5978196010387004
job_arrival_count_rollstd168h,23699.26953723652,19108.265625657237,0.8062807841243439
avg_wait_time_sec_z168h,9971.960269128658,16422.16203601645,1.6468338814843075
avg_wait_time_sec_rollstd168h,13245.219757665418,15721.02044933091,1.1869203181949979
avg_requested_nodes_rollstd24h,13717.311569717147,15714.921801056598,1.1456269489241209
compute_bound_ratio_rollstd24h,16461.203832353283,15065.772973797364,0.9152291124775879
new_user_count_rollstd168h,15514.199897705366,14953.447677740984,0.9638555501629625
compute_bound_ratio_rollstd168h,13962.60772489205,14846.235450824228,1.0632852933594115
compute_bound_ratio_lag0h,13735.790235784818,14652.407688444197,1.0667320508631082
failure_rate_rollstd168h,11279.038723573769,12179.752695747933,1.0798573348535125
compute_bound_ratio_z720h,13425.12118699102,12085.995308221725,0.9002522316098783
avg_wait_time_sec_z720h,9750.645023265752,10979.014613274036,1.1259782903671813
job_arrival_count_lag0h,8493.942244020245,10878.99568092761,1.2807946379181525
avg_wait_time_sec_lag0h,6930.700520905528,10746.360771027388,1.5505446727372556
job_arrival_count_rollstd24h,8543.987435752999,9512.803959794493,1.113391613848518
new_user_count_z168h,9620.27360544777,9420.444056647804,0.9792282884047283
avg_requested_cores_rollstd168h,15959.174895903521,9108.196477779968,0.5707185075161939
avg_wait_time_sec_lag168h,5139.965267897115,8974.244811409588,1.7459738234926185
new_user_count_z720h,8589.723028561097,8936.604241078043,1.0403832825998645
avg_requested_cores_rollstd24h,7169.642882016057,8898.898558484285,1.241191326391695
failure_rate_rollmean168h,8283.385725946611,8768.92985635195,1.0586166268805322
compute_bound_ratio_rollmean24h,8235.707056009134,7782.227225414456,0.9449373529788436
avg_wait_time_sec_lag1h,6134.284442596828,7274.259024972232,1.1858366029555711
job_arrival_count_lag24h,5390.028804347021,5937.958111085875,1.1016560999260252
compute_bound_ratio_z168h,5781.993995051165,5830.061300168231,1.0083132748249493
job_arrival_count_rollmean24h,5292.156371895085,5490.317220425647,1.0374442542142046
new_user_count_rollstd24h,4595.762480921198,5329.996151302922,1.159763189118196
avg_requested_nodes_z720h,5429.856984034546,4922.461740730727,0.9065545842559541
avg_wait_time_sec_lag24h,4395.6051179828655,4792.702203126092,1.0903395720235793
compute_bound_ratio_lag1h,4367.58235396031,4777.9053808374465,1.093947404679176
failure_rate_rollmean24h,4301.62004653751,4716.675852636102,1.0964882536365996
failure_rate_lag168h,5333.883556728422,4383.876902240759,0.8218921271182835
avg_requested_nodes_rollmean24h,6171.831463797546,4376.17524150883,0.7090561800299318
new_user_count_rollmean168h,7025.013015095495,4331.082470756112,0.6165230529038724
avg_requested_cores_rollmean168h,3430.041032623611,4163.0830235570675,1.2137123095500577
failure_rate_rollstd24h,4671.667529616729,3943.308899723153,0.8440902257542862
job_arrival_count_z720h,4095.1576741319363,3517.721566883061,0.8589953908499319
failure_rate_z168h,3635.331315423091,3310.5666106425933,0.9106643448417849
compute_bound_ratio_lag168h,1904.278454357263,3279.3808819904402,1.7221120548240962
compute_bound_ratio_lag24h,2792.3173572319206,3210.881272760725,1.149898404078158
avg_requested_cores_lag1h,2870.1751291799146,2594.2062087915197,0.9038494489124618
avg_requested_nodes_z168h,2714.24609763437,2501.5419793224255,0.9216341810356368
new_user_count_rollmean24h,2457.8766083721193,2496.2255564113807,1.015602470811039
avg_requested_nodes_lag0h,2500.0322045182324,2416.471172562216,0.9665760177788913
job_arrival_count_lag168h,1752.4802263727358,1950.9378028529538,1.1132438320807667
failure_rate_z720h,2659.232523690747,1943.6144626146433,0.7308930096556966
failure_rate_lag1h,2139.441192666992,1878.4903594815823,0.8780285085283823
job_arrival_count_lag1h,1236.1242849991397,1812.3646542975418,1.4661670159637736
job_arrival_count_z168h,2915.7452247353335,1663.5300264984464,0.5705333965348249
avg_requested_cores_rollmean24h,2160.8352832219225,1171.4073314163584,0.5421085727875224
avg_requested_nodes_lag24h,776.2912438127476,762.7439630124555,0.9825487136325863
failure_rate_lag24h,881.9009585274654,701.220892275493,0.7951243112903983
avg_requested_nodes_lag1h,756.8936568734442,685.4739723937108,0.9056410582501749
failure_rate_lag0h,742.783839256837,504.7093609755959,0.6794834974877252
avg_requested_cores_z168h,475.89923735866205,360.26203946522537,0.7570132733659194
avg_requested_cores_z720h,427.07004339468756,280.63079701606813,0.6571071920320014
avg_requested_nodes_lag168h,167.036869799432,265.73793982323497,1.5908939154709818
avg_requested_cores_lag24h,103.78137160791854,133.94984549610487,1.2906925724797846
new_user_count_lag0h,148.7094254046996,98.94511341872987,0.6653587232245667
avg_requested_cores_lag168h,0.0,0.0,
avg_requested_cores_lag0h,0.0,0.0,
new_user_count_lag168h,0.0,0.0,
new_user_count_lag1h,0.0,0.0,
new_user_count_lag24h,0.0,0.0,
