,mean_abs_shap
power_consumption,620783.031553141
power_rollmean168h,363920.2969796744
target_cal_doy_sin,266539.8877882354
power_lag0h,163966.62490105059
target_cal_hour_sin,127493.1231296133
power_rollmean720h,119314.69568016048
power_lag1h,116533.2060450737
horizon,102310.83386380503
power_rollmean24h,97264.06407104178
power_rollmean336h,94216.45831534883
power_rollmean72h,91555.89210540871
avg_requested_nodes_rollmean168h,76856.26224535289
cal_doy_sin,61311.61500169463
target_cal_doy_cos,55617.64552509073
avg_wait_time_sec_rollstd24h,43975.31777489923
power_rollstd720h,34848.60608254339
power_rollstd168h,33916.80142094397
avg_requested_nodes_rollstd168h,30937.27950413218
target_cal_dow_cos,29103.232274603644
avg_wait_time_sec_rollmean168h,25730.507031579175
avg_wait_time_sec_rollmean24h,25278.98435794662
job_arrival_count_rollmean168h,22937.389831650715
power_lag2h,22753.15351919938
target_cal_dow_sin,22637.80005189475
job_arrival_count_rollstd168h,22464.99551307919
cal_doy_cos,21367.566051799142
compute_bound_ratio_rollmean168h,18634.52746194159
power_rollstd336h,16509.507716640677
compute_bound_ratio_rollstd24h,16086.047527894612
power_rollstd72h,15500.218907608938
new_user_count_rollstd168h,15363.44378587874
avg_requested_nodes_rollstd24h,14254.361519231345
compute_bound_ratio_rollstd168h,14200.167694377742
avg_requested_cores_rollstd168h,14117.315279921742
compute_bound_ratio_lag0h,13982.219368431268
avg_wait_time_sec_rollstd168h,13910.829402433152
compute_bound_ratio_z720h,13065.102263227283
target_cal_hour_cos,12676.099462838629
avg_wait_time_sec_z168h,11706.072599410796
failure_rate_rollstd168h,11521.192265688178
avg_wait_time_sec_z720h,10080.887538021148
new_user_count_z168h,9566.550187630437
job_arrival_count_lag0h,9135.154832834838
job_arrival_count_rollstd24h,8804.450091161054
new_user_count_z720h,8682.98072956152
failure_rate_rollmean168h,8413.92242756644
compute_bound_ratio_rollmean24h,8113.790720026363
avg_wait_time_sec_lag0h,7956.5263364437815
power_lag504h,7673.478179536061
avg_requested_cores_rollstd24h,7634.546725205515
power_lag72h,7168.502525943167
power_lag6h,6500.443811015371
avg_wait_time_sec_lag1h,6440.762294135311
new_user_count_rollmean168h,6300.759985082628
avg_wait_time_sec_lag168h,6170.796809987282
compute_bound_ratio_z168h,5794.916708091688
avg_requested_nodes_rollmean24h,5689.076085197767
power_lag336h,5584.733115865543
cal_dow_cos,5577.424757633456
job_arrival_count_lag24h,5537.337524489143
job_arrival_count_rollmean24h,5345.431165961229
avg_requested_nodes_z720h,5293.445693420951
failure_rate_lag168h,5078.477863552387
new_user_count_rollstd24h,4793.15842404556
power_lag3h,4786.848038502612
power_lag24h,4627.033768508277
avg_wait_time_sec_lag24h,4502.3631662660555
compute_bound_ratio_lag1h,4477.896146617021
failure_rate_rollstd24h,4475.851068889915
failure_rate_rollmean24h,4413.206228973781
power_lag48h,4296.278910352404
job_arrival_count_z720h,3939.9161623592563
power_rollstd24h,3911.1901270321982
avg_requested_cores_rollmean168h,3627.1165972389517
failure_rate_z168h,3548.0195538141124
target_cal_is_weekend,3510.323987278358
compute_bound_ratio_lag24h,2904.8466816099153
avg_requested_cores_lag1h,2795.98192950717
avg_requested_nodes_z168h,2657.061400535437
job_arrival_count_z168h,2579.091908465952
power_lag168h,2497.096009963313
power_lag720h,2492.3757554243502
avg_requested_nodes_lag0h,2477.567137364861
new_user_count_rollmean24h,2468.1865778973684
failure_rate_z720h,2466.84131666601
compute_bound_ratio_lag168h,2273.9695371077137
failure_rate_lag1h,2069.2855488936016
avg_requested_cores_rollmean24h,1894.831323476066
job_arrival_count_lag168h,1805.8347946250065
cal_hour_cos,1730.2425258467686
job_arrival_count_lag1h,1391.0443271498345
power_lag12h,1186.2472105885004
cal_dow_sin,1175.0350549881675
failure_rate_lag24h,833.3258066101774
avg_requested_nodes_lag24h,772.6491086475886
avg_requested_nodes_lag1h,737.6927450326712
failure_rate_lag0h,678.778416909838
avg_requested_cores_z168h,444.81061440492584
avg_requested_cores_z720h,387.7004062949662
cal_hour_sin,306.7313936804353
avg_requested_nodes_lag168h,193.57227888057838
new_user_count_lag0h,135.33047849081294
avg_requested_cores_lag24h,111.89205162165621
cal_is_weekend,0.0
new_user_count_lag1h,0.0
avg_requested_cores_lag0h,0.0
new_user_count_lag168h,0.0
new_user_count_lag24h,0.0
avg_requested_cores_lag168h,0.0
