,stable,transition,transition_vs_stable_ratio
power_consumption,0.7889709398650483,0.786500487348129,0.9968687661457571
cal_doy_sin,0.026926452287741508,0.027770694152548344,1.0313536241531227
avg_wait_time_sec_lag0h,0.019959985303548707,0.020635339945297763,1.0338354278061008
cal_hour_cos,0.01958082282553178,0.019624424905612496,1.002226774659534
compute_bound_ratio_lag0h,0.01666044738868734,0.017089721794914536,1.0257660791581549
new_user_count_lag0h,0.0170430868595288,0.01688925565445213,0.9909739822166861
cal_dow_sin,0.013475839514285276,0.013544130532456322,1.0050676633614295
cal_dow_cos,0.013671517197117662,0.013287974015713199,0.9719458216762273
avg_requested_cores_lag0h,0.012889734810005653,0.013002126718517986,1.008719489591445
cal_is_weekend,0.01262613079954409,0.012955358460673952,1.02607510300319
cal_hour_sin,0.012341337962913583,0.012652812292799308,1.025238295136372
cal_doy_cos,0.012560610840684565,0.012438458205875087,0.9902749447173526
job_arrival_count_lag0h,0.012173875481915305,0.012230821580080075,1.0046777296391247
failure_rate_lag0h,0.01097091639276914,0.011105439705966825,1.0122618119017248
avg_requested_nodes_lag0h,0.010148304320821774,0.010272960764644939,1.0122834751385412
