scenario,policy,q,r,horizon_bucket,regime,n,mean_cost
moderate (r=3),static (no forecast),0.75,3,overall,overall,12602,3065395.6802467853
moderate (r=3),static (no forecast),0.75,3,overall,stable,9214,2982756.882967053
moderate (r=3),static (no forecast),0.75,3,overall,transition,3388,3290140.0362489866
moderate (r=3),static (no forecast),0.75,3,short_1-24h,overall,10103,3097811.966688785
moderate (r=3),static (no forecast),0.75,3,short_1-24h,stable,7411,3010449.922418305
moderate (r=3),static (no forecast),0.75,3,short_1-24h,transition,2692,3338317.208177835
moderate (r=3),static (no forecast),0.75,3,medium_48-168h,overall,2499,2934342.5622301716
moderate (r=3),static (no forecast),0.75,3,medium_48-168h,stable,1803,2868928.200009076
moderate (r=3),static (no forecast),0.75,3,medium_48-168h,transition,696,3103799.5953977527
moderate (r=3),seasonal-naive,0.75,3,overall,overall,12602,3340572.8224371243
moderate (r=3),seasonal-naive,0.75,3,overall,stable,9214,3332635.073915198
moderate (r=3),seasonal-naive,0.75,3,overall,transition,3388,3362160.312071429
moderate (r=3),seasonal-naive,0.75,3,short_1-24h,overall,10103,3415713.575668675
moderate (r=3),seasonal-naive,0.75,3,short_1-24h,stable,7411,3437121.582208563
moderate (r=3),seasonal-naive,0.75,3,short_1-24h,transition,2692,3356777.9380508736
moderate (r=3),seasonal-naive,0.75,3,medium_48-168h,overall,2499,3036792.498348149
moderate (r=3),seasonal-naive,0.75,3,medium_48-168h,stable,1803,2903156.6973416395
moderate (r=3),seasonal-naive,0.75,3,medium_48-168h,transition,696,3382978.3449210464
moderate (r=3),①Chronos,0.75,3,overall,overall,12602,2474019.664510873
moderate (r=3),①Chronos,0.75,3,overall,stable,9214,2419410.8657784513
moderate (r=3),①Chronos,0.75,3,overall,transition,3388,2622533.6761757294
moderate (r=3),①Chronos,0.75,3,short_1-24h,overall,10103,2277794.0816887333
moderate (r=3),①Chronos,0.75,3,short_1-24h,stable,7411,2246705.3656876404
moderate (r=3),①Chronos,0.75,3,short_1-24h,transition,2692,2363380.4391493937
moderate (r=3),①Chronos,0.75,3,medium_48-168h,overall,2499,3267323.811470488
moderate (r=3),①Chronos,0.75,3,medium_48-168h,stable,1803,3129294.6490136157
moderate (r=3),①Chronos,0.75,3,medium_48-168h,transition,696,3624890.736628163
moderate (r=3),②LightGBM,0.75,3,overall,overall,12602,2725061.6815329515
moderate (r=3),②LightGBM,0.75,3,overall,stable,9214,2659661.4218850196
moderate (r=3),②LightGBM,0.75,3,overall,transition,3388,2902924.1350146662
moderate (r=3),②LightGBM,0.75,3,short_1-24h,overall,10103,2679120.313281506
moderate (r=3),②LightGBM,0.75,3,short_1-24h,stable,7411,2616775.199398213
moderate (r=3),②LightGBM,0.75,3,short_1-24h,transition,2692,2850754.651687553
moderate (r=3),②LightGBM,0.75,3,medium_48-168h,overall,2499,2910794.2319308543
moderate (r=3),②LightGBM,0.75,3,medium_48-168h,stable,1803,2835939.7329497556
moderate (r=3),②LightGBM,0.75,3,medium_48-168h,transition,696,3104706.1021362008
moderate (r=3),③LightGBM,0.75,3,overall,overall,12602,2702149.0514082187
moderate (r=3),③LightGBM,0.75,3,overall,stable,9214,2617492.6509339684
moderate (r=3),③LightGBM,0.75,3,overall,transition,3388,2932380.47819976
moderate (r=3),③LightGBM,0.75,3,short_1-24h,overall,10103,2660233.946176908
moderate (r=3),③LightGBM,0.75,3,short_1-24h,stable,7411,2579444.289680514
moderate (r=3),③LightGBM,0.75,3,short_1-24h,transition,2692,2882645.5896742223
moderate (r=3),③LightGBM,0.75,3,medium_48-168h,overall,2499,2871604.156711114
moderate (r=3),③LightGBM,0.75,3,medium_48-168h,stable,1803,2773885.5545664416
moderate (r=3),③LightGBM,0.75,3,medium_48-168h,transition,696,3124745.880370373
moderate (r=3),②LSTM,0.75,3,overall,overall,12420,2774367.3586321427
moderate (r=3),②LSTM,0.75,3,overall,stable,9032,2755413.7101195683
moderate (r=3),②LSTM,0.75,3,overall,transition,3388,2824895.5030729836
moderate (r=3),②LSTM,0.75,3,short_1-24h,overall,9936,2619550.5816589664
moderate (r=3),②LSTM,0.75,3,short_1-24h,stable,7244,2626799.850007632
moderate (r=3),②LSTM,0.75,3,short_1-24h,transition,2692,2600043.2637103284
moderate (r=3),②LSTM,0.75,3,medium_48-168h,overall,2484,3393634.4665248482
moderate (r=3),②LSTM,0.75,3,medium_48-168h,stable,1788,3276486.8659645743
moderate (r=3),②LSTM,0.75,3,medium_48-168h,transition,696,3694582.6127917594
moderate (r=3),③LSTM,0.75,3,overall,overall,12420,3326274.731572724
moderate (r=3),③LSTM,0.75,3,overall,stable,9032,3205271.7347734063
moderate (r=3),③LSTM,0.75,3,overall,transition,3388,3648854.1492502433
moderate (r=3),③LSTM,0.75,3,short_1-24h,overall,9936,3234535.2074424014
moderate (r=3),③LSTM,0.75,3,short_1-24h,stable,7244,3129290.540642666
moderate (r=3),③LSTM,0.75,3,short_1-24h,transition,2692,3517741.881401273
moderate (r=3),③LSTM,0.75,3,medium_48-168h,overall,2484,3693232.8280940126
moderate (r=3),③LSTM,0.75,3,medium_48-168h,stable,1788,3513106.058197948
moderate (r=3),③LSTM,0.75,3,medium_48-168h,transition,696,4155972.2886890764
moderate (r=3),②TFT-lite,0.75,3,overall,overall,12420,2722037.348455935
moderate (r=3),②TFT-lite,0.75,3,overall,stable,9032,2639825.697040206
moderate (r=3),②TFT-lite,0.75,3,overall,transition,3388,2941203.7107897177
moderate (r=3),②TFT-lite,0.75,3,short_1-24h,overall,9936,2580569.13045317
moderate (r=3),②TFT-lite,0.75,3,short_1-24h,stable,7244,2524326.824872428
moderate (r=3),②TFT-lite,0.75,3,short_1-24h,transition,2692,2731913.581280394
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,overall,2484,3287910.220466995
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,stable,1788,3107764.080699817
moderate (r=3),②TFT-lite,0.75,3,medium_48-168h,transition,696,3750699.441593022
moderate (r=3),③TFT-lite,0.75,3,overall,overall,12420,2745299.0285371672
moderate (r=3),③TFT-lite,0.75,3,overall,stable,9032,2661695.757237772
moderate (r=3),③TFT-lite,0.75,3,overall,transition,3388,2968175.2818949427
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,overall,9936,2623406.840593621
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,stable,7244,2558039.651285352
moderate (r=3),③TFT-lite,0.75,3,short_1-24h,transition,2692,2799305.77051528
